ID,Name,Type,Specialty,Locality,Address,Lat,Lng,Zone,Phone,Email,Website
f7fed0d0-1806-4d32-bbe0-43691c02a422,Dr Sanjay Nema Clinic,GENERAL_CLINIC,,Madan Mahal Railway Station Rd,"Madan Mahal Railway Station Rd, Wright Town, Jabalpur, Madhya Pradesh 482002",23.1666306,79.9227047,Wright Town,098261 59210,,
940f67f3-d526-4d6c-911b-85b841ed8cf8,Dr. Gaurav Awasthi (General Physician),GENERAL_CLINIC,,Ranital Chowk,"Rishi Clinic, 993, Ranital Chowk, opp. Gaushala, Wright Town, Jabalpur, Madhya Pradesh 482002",23.1693368,79.9241115,Wright Town,091110 07120,rishiclinic11@gmail.com,https://jabalpurhelpline.com/dr-gaurav-awasthi-general-physician
a800e838-e335-4dd3-87bc-c90b460d76c8,Dr. Anoop Gond- General Physician In Jabalpur,GENERAL_CLINIC,,Gole Bazar,"Dr. Anoop Clinic, Gole Bazar, Wright Town, Jabalpur, Madhya Pradesh 482002",23.1630511,79.918635,Wright Town,094152 05641,swati.remedo@gmail.com,https://dranoopgond.getmy.clinic/?utm_source=gmb&utm_medium=web&utm_campaign=tu
4377a0fa-7a83-4724-8119-71ef6d4b4bf8,Vishuddh Health Care,GENERAL_CLINIC,,Madan Mahal Station Main Road Near Gate No.4 Chowk,"Madan Mahal Station Main Road Near Gate No.4 Chowk, Wright Town, Jabalpur, Madhya Pradesh 482002",23.162921,79.9211754,Wright Town,097520 00122,,
7ab8d471-6ae2-42c2-ab2f-e3c8762b882d,"Dr Alok Bansal, MBBS, DM, MD Best Gastrologist and Liver Specialist",GASTROENTEROLOGY_CLINIC,,Madan Mahal Railway Station Rd,"Madan Mahal Railway Station Rd, in front of Bade Hanuman Temple, near Ranital Chowk, Wright Town, Jabalpur, Madhya Pradesh 482001",23.1670497,79.9229148,Wright Town,084474 95088,,http://www.gastroneuroclinic.com/
b8ab6595-7433-4049-9b94-98e8bac1fb20,Anant Multispeciality Hospital,MULTISPECIALTY_HOSPITAL,,Madan Mahal Railway Station Rd,"Madan Mahal Railway Station Rd, Wright Town, Jabalpur, Madhya Pradesh 482002",23.1655557,79.921916,Wright Town,074007 79494,inquiry@ananthospital.com,https://ananthospital.com/
64c8e7f2-3ebf-405d-8fac-827a5951b3bd,"Dr Anjali Chouksey (MD, DM Neurology) Gastro Neuro centre- Top neurologist in Jabalpur/ Brain doctor Jabalpur/ Migraine",NEUROLOGY_CLINIC,,Station Rd,"Madan Mahal, ABN Tower, Station Rd, in front of Bade Hanuman mandir Ranital, Wright Town, Jabalpur, Madhya Pradesh 482002",23.1665034,79.9226097,Wright Town,085878 83897,,http://www.dranjalichoukseyneuro.com/
f9317021-5e83-4e65-bfd1-4427fce0350b,Dr. Arshiya Siddiqua- Internal Medicine In Jabalpur,GENERAL_CLINIC,,Ima Hall Road,"Samadhan Hospital 1625, Ima Hall Road, Wright Town, Jabalpur, Madhya Pradesh 482002",23.1662965,79.9216231,Wright Town,,swati.remedo@gmail.com,https://drarshiyasiddiqua.getmy.clinic/?utm_source=gmb&utm_medium=web&utm_campaign=tu
0a257ef1-e0fe-441c-b32f-71f149bcb080,Dr Deepak Shukla,GENERAL_CLINIC,,Marhatal,"G.D Complex, Krishna Talkies, 17-20, Marhatal, Jabalpur, Madhya Pradesh 482002",23.1654859,79.9339592,Wright Town,088781 17888,dr.shukladeepak@gmail.com,https://jabalpurhelpline.com/dr-deepak-shukla-chest-physician
0a5f494b-9d10-481f-b9f3-59ae8a8ebaae,Dr. Mehta's Clinic,GENERAL_CLINIC,,Wright Town,"5WCG+656 Dr. mehta clinic, Wright Town, Jabalpur, Madhya Pradesh 482002",23.1705405,79.9253869,Wright Town,,,
c31d44d8-dd5c-41b8-8a8e-8e802e32fdc1,Grover Hospital,HOSPITAL,,Madan Mahal Railway Station Rd,"5W8F+84Q, Madan Mahal Railway Station Rd, Wright Town, Jabalpur, Madhya Pradesh 482002",23.165839,79.9228666,Wright Town,,,
accc9466-a53b-460c-9e5d-09ac04667c7d,Dr. K.L.UMAMAHESHWAR,GENERAL_CLINIC,,Sneh Nagar Rd,"Medihealth Clinic, 4, Sneh Nagar Rd, opp. P&T gate, Wright Town, Jabalpur, Madhya Pradesh 482002",23.1639641,79.9205685,Wright Town,099849 34759,drkl2k2@gmail.com,http://jabalpurhelpline.com/dr-k-l-umamaheshwar-paediatric-cardiologist
fe2a53d3-4266-4fae-893c-c69b15cbce6e,Ranjan Shevde Clinic,GENERAL_CLINIC,,Wright Town,"5W7F+72C, Near Arun dairy, Wright Town, Jabalpur, Madhya Pradesh 482002",23.16319,79.9225085,Wright Town,089894 00708,,
6bd6a13a-02f5-4cf0-8a8e-110dc705b987,"Dr Amit Anurag Singh MD,DM(Gastroenterology)",GASTROENTEROLOGY_CLINIC,,Gau Mata chowk,"Sanjeevani Superspeciality Clinic, Pandit Ravishankar Shukla Stadium, Gau Mata chowk, in front of Bank of Baroda, Wright Town, Jabalpur, Madhya Pradesh 482002",23.1657406,79.9260617,Wright Town,091097 47197,info@sanjivinihealthcare.com,https://www.apnabusinesscard.com/Dr-Amit-Anurag-Singh
fb5f9514-e421-4821-b273-facbf34eb75d,Dr. Atul kumar Patel,GENERAL_CLINIC,,Madan Mahal Railway Station Rd,"gate 4, Hope health clinic,pillar number 136, Madan Mahal Railway Station Rd, Wright Town, Jabalpur, Madhya Pradesh 482001",23.1628543,79.9207505,Wright Town,090749 80658,patelatulking18@gmail.com,https://jabalpurhelpline.com/dr-atul-kumar-patel-laparoscopic-surgeon
1950e7ed-e17a-4094-b138-703cbba9db7f,Dr K K Verma -LAPAROSCOPY #HERNIA #GALL STONES #GASTRO #BARIATRIC# PILES #VERICOSE VEIN #SURGEON.in Jabalpur,GASTROENTEROLOGY_CLINIC,,stadium ROAD,"shop no 29, 30, stadium ROAD, opposite Satya Ashoka Hotel, Wright Town, Jabalpur, Madhya Pradesh 482002",23.1652353,79.927091,Wright Town,,drkrishan.kant@gmail.com,http://drkkverma.com/
3943c0a0-ec3a-41c2-a61e-b0405e0f4d4d,THC Triveni Healthcare/A Unit of Jamdar Hospital,HOSPITAL,,Wright Town,"1480, Wright Town, Jabalpur, Madhya Pradesh 482002",23.166102,79.9270061,Wright Town,075660 03344,info@thcjbp.com,https://www.thcjbp.com/
