Locality,Total Entities,Hospitals,Clinics,Labs,Pharmacies,Doctors,Trust Status
Wright Town,133,20,91,6,2,0,VERIFIED
Napier Town,96,8,75,5,3,0,VERIFIED
Home Science College Rd,46,6,33,4,1,0,VERIFIED
Vijay Nagar,46,4,33,3,1,0,VERIFIED
South Civil Lines,42,7,28,4,1,0,VERIFIED
Main Road,42,2,29,6,2,0,VERIFIED
Madan Mahal Railway Station Rd,41,3,24,5,2,0,VERIFIED
Mandla - Jabalpur Rd,40,2,24,6,5,0,VERIFIED
MR-4 Rd,35,2,22,3,3,0,VERIFIED
Gole Bazar,33,7,25,0,0,0,VERIFIED
Russel Chowk,32,5,18,6,1,0,VERIFIED
Narmada Rd,31,1,25,1,2,0,VERIFIED
Ukhri Rd,30,3,18,1,0,0,VERIFIED
Nagpur Rd,30,5,17,2,2,0,VERIFIED
Marhatal,29,3,18,3,1,0,VERIFIED
Ghamapur,29,2,18,4,3,0,VERIFIED
Unknown,28,3,24,0,0,0,VERIFIED
Gwarighat Main Rd,27,0,21,3,0,0,VERIFIED
Main Rd,26,2,13,3,3,0,VERIFIED
Road,24,2,13,3,2,0,VERIFIED
Ahinsa Chowk,23,2,17,2,1,0,VERIFIED
Sanjeevani Nagar,23,0,17,2,2,0,VERIFIED
Garha Rd,22,2,17,2,1,0,VERIFIED
Chowk,22,3,13,3,3,0,VERIFIED
Karmeta,21,2,14,1,3,0,VERIFIED
Madan Mahal,20,1,17,1,0,0,VERIFIED
Sneh Nagar Rd,19,1,16,0,0,0,VERIFIED
Gorakhpur,18,0,14,3,0,0,VERIFIED
Amkhera Rd,18,0,11,1,3,0,VERIFIED
Dhanvantari Nagar,18,0,13,2,1,0,VERIFIED
Katangi Rd,18,4,10,2,1,0,VERIFIED
Sadar Bazar,17,0,13,0,3,0,VERIFIED
road,17,2,9,0,2,0,VERIFIED
Jabalpur,17,2,13,0,0,0,VERIFIED
New Shastri Nagar,16,1,11,1,3,0,VERIFIED
Garha,16,0,14,0,2,0,VERIFIED
Prestige Town,15,1,12,1,1,0,VERIFIED
Ekta Chowk,15,2,10,1,1,0,VERIFIED
Patan Rd,15,5,8,0,2,0,VERIFIED
Doctors Colony,15,3,8,2,0,0,VERIFIED
Unnamed Road,14,1,12,0,0,0,VERIFIED
Bilhari,14,1,8,1,2,0,VERIFIED
Labour Chowk,14,1,6,1,6,0,VERIFIED
Anand Nagar,14,0,9,2,3,0,VERIFIED
Skin Hair and Cosmetic Clinic Dr Kuldeep Bhardwaj MD,14,0,14,0,0,0,VERIFIED
Adhartal,14,1,9,1,2,0,VERIFIED
Prem Mandir Rd,13,1,12,0,0,0,VERIFIED
Ghamapur Rd,13,1,10,0,1,0,VERIFIED
Gorakhpur Main Rd,13,0,8,1,2,0,VERIFIED
Cantt,12,4,6,0,0,0,VERIFIED
Gohalpur,12,0,11,0,1,0,VERIFIED
Sadar Main Rd,12,0,10,0,1,0,VERIFIED
Medical Garha,12,2,9,1,0,0,VERIFIED
Ranital Chowk,11,0,6,1,3,0,VERIFIED
Narmada - Gwarighat Rd,11,0,8,1,2,0,VERIFIED
Gwarighat Rd,11,0,10,0,0,0,VERIFIED
Gol Bazar Rd,11,1,8,1,0,0,VERIFIED
Malaviya Chowk,11,1,8,1,1,0,VERIFIED
Nove Adaresh Colony,11,2,9,0,0,0,VERIFIED
Char Khamba Rd,11,1,6,0,2,0,VERIFIED
Bengali Colony,11,0,9,1,0,0,VERIFIED
KanchGhar,10,0,8,2,0,0,VERIFIED
Jabalpur Hospital to Shastri Bridge Rd,10,5,4,1,0,0,VERIFIED
Shanti Nagar,10,0,8,1,0,0,VERIFIED
Hanumantal Ward,10,0,7,0,0,0,VERIFIED
Premnagar,10,0,7,0,0,0,VERIFIED
Station Rd,9,1,3,1,1,0,VERIFIED
Gupteshwar Rd,9,0,5,2,0,0,VERIFIED
Trimurti Nagar,9,0,6,0,2,0,VERIFIED
Tagore Railway Colony,9,1,8,0,0,0,VERIFIED
Gwarighat,9,1,6,0,1,0,VERIFIED
chowk,9,0,8,0,0,0,VERIFIED
Bhavartal Garden Rd,9,2,7,0,0,0,VERIFIED
Sadar,9,2,5,0,1,0,VERIFIED
Sarvodaya Nagar,9,0,6,1,2,0,VERIFIED
Gulaua Chowk,9,0,8,1,0,0,VERIFIED
Christian Colony,9,1,6,0,1,0,VERIFIED
Shanti Nagar Rd,9,0,8,0,1,0,VERIFIED
Shiv Nagar,9,1,5,0,1,0,VERIFIED
Panagar,9,1,7,0,0,0,VERIFIED
Dr Barat Rd,8,0,7,0,0,0,VERIFIED
Bhim Nagar,8,0,7,0,1,0,VERIFIED
Main road,8,1,3,0,2,0,VERIFIED
Shakti Nagar,8,1,5,1,0,0,VERIFIED
Ratan Nagar,8,0,6,1,0,0,VERIFIED
Transport Nagar,8,4,3,0,1,0,VERIFIED
Shastri Nagar,8,0,8,0,0,0,VERIFIED
Kachnar City Rd,8,0,7,0,0,0,VERIFIED
Uprainganj,8,0,8,0,0,0,VERIFIED
Jai Prakash Nagar,8,0,7,1,0,0,VERIFIED
Govindh Bhavan Colony,7,0,7,0,0,0,VERIFIED
Awadhpuri Colony,7,1,4,0,1,0,VERIFIED
Rampur Chowk,7,2,5,0,0,0,VERIFIED
Ravindra Nagar,7,0,4,1,0,0,VERIFIED
Golbazar,7,0,6,0,0,0,VERIFIED
Ganjipura,7,0,6,1,0,0,VERIFIED
Jai Nagar Rd,7,0,5,0,1,0,VERIFIED
Tilwara Rd,7,1,4,1,0,0,VERIFIED
Ansar Nagar,7,0,5,1,1,0,VERIFIED
Dixitpura Rd,7,0,7,0,0,0,VERIFIED
Rajul Township,7,0,5,0,0,0,VERIFIED
MP Housing Board Colony,7,1,5,0,1,0,VERIFIED
Janki Nagar,7,0,4,0,0,0,VERIFIED
Azad Nagar,7,1,5,0,0,0,VERIFIED
Railway Station Rd,7,1,5,0,0,0,VERIFIED
Yashwar Nagar,7,0,7,0,0,0,VERIFIED
Ranjhi - Bada Patthar Rd,7,0,7,0,0,0,VERIFIED
Kamla Nehru Nagar,7,1,4,1,1,0,VERIFIED
main road,7,0,5,2,0,0,VERIFIED
Garha Bazar Rd,7,0,7,0,0,0,VERIFIED
Subhash Nagar,7,0,5,1,0,0,VERIFIED
Tripuri Chowk,7,0,3,2,1,0,VERIFIED
Captainganj,6,0,5,0,1,0,VERIFIED
4th Bridge Rd,6,0,6,0,0,0,VERIFIED
Shahi Naka Rd,6,0,5,0,1,0,VERIFIED
Ashok Nagar,6,1,2,1,1,0,VERIFIED
Ghadi Chowk,6,0,5,0,0,0,VERIFIED
Ram Nagar,6,1,5,0,0,0,VERIFIED
BT Rd,6,0,5,1,0,0,VERIFIED
Mastana Chowk Rd,6,0,5,0,1,0,VERIFIED
Milloniganj,6,0,6,0,0,0,VERIFIED
Ranjhi Mohaniya Rd,6,0,4,1,1,0,VERIFIED
Dr Kuldeep Bhardwaj Snhclinics,6,0,6,0,0,0,VERIFIED
SkinHairandCosmeticClinicDrKuldeepBhardwajMD - 2225/2,6,0,6,0,0,0,VERIFIED
Vijay Nagar Rd,6,0,5,0,0,0,VERIFIED
Gohalpur Rd,6,0,4,1,0,0,VERIFIED
Tilhari,6,0,4,1,1,0,VERIFIED
Nav Nivesh Colony,6,1,5,0,0,0,VERIFIED
Gau Mata Chowk,5,1,2,1,0,0,VERIFIED
Suvidha Market,5,0,4,0,0,0,VERIFIED
Kripal Chowk Rd,5,0,3,0,1,0,VERIFIED
Stadium Market,5,0,2,1,0,0,VERIFIED
New Ram Nagar,5,0,5,0,0,0,VERIFIED
Lalmati,5,0,4,0,0,0,VERIFIED
Ravindra Nagar Rd,5,1,3,0,1,0,VERIFIED
Vikas Nagar,5,0,5,0,0,0,VERIFIED
Rameshwaram Colony,5,0,5,0,0,0,VERIFIED
JDA Colony,5,0,4,0,0,0,VERIFIED
Raddi Chowk,5,2,1,0,1,0,VERIFIED
Ratan Colony,5,0,5,0,0,0,VERIFIED
Gorakhpur Rd,5,0,5,0,0,0,VERIFIED
Mohan Vihar Colony,5,2,3,0,0,0,VERIFIED
Ganga Nagar,5,0,4,1,0,0,VERIFIED
Kalimath Rd,5,0,5,0,0,0,VERIFIED
Raddi Chowki,5,1,3,1,0,0,VERIFIED
near Bhavartal Garden Road,5,1,3,1,0,0,VERIFIED
Dr.Kuldeep Bhardwaj's Skin Hair & Cosmetic Clinic,5,0,5,0,0,0,VERIFIED
Aaga Chowk,5,0,4,0,1,0,VERIFIED
Green City Rd,5,1,4,0,0,0,VERIFIED
Ranital Link Road,5,0,1,1,1,0,VERIFIED
Yadav Colony,5,0,3,1,0,0,VERIFIED
Central Ordinance Depot Area,5,0,4,0,1,0,VERIFIED
Mandla Road,5,0,5,0,0,0,VERIFIED
Nehru Nagar,5,0,1,1,1,0,VERIFIED
Bajrang Nagar,5,1,3,0,1,0,VERIFIED
BeoharBagh,4,1,2,0,0,0,VERIFIED
Nagar Nigam Rd,4,1,2,0,1,0,VERIFIED
Rampur,4,0,4,0,0,0,VERIFIED
Mahanadda Rd,4,0,4,0,0,0,VERIFIED
Krishna Hotel Road,4,0,4,0,0,0,VERIFIED
Shatabdipuram Phase 1,4,1,3,0,0,0,VERIFIED
Cherital,4,0,4,0,0,0,VERIFIED
Kanchan Vihar,4,1,3,0,0,0,VERIFIED
Fuhara Rd,4,1,3,0,0,0,VERIFIED
Station Road,4,0,3,0,1,0,VERIFIED
Ghamapur Chowk,4,0,2,0,1,0,VERIFIED
Suji Mohalla,4,0,1,1,1,0,VERIFIED
Dhanwantary Nagar Main Rd,4,1,3,0,0,0,VERIFIED
Naya Mohalla,4,1,3,0,0,0,VERIFIED
durga Colony,4,0,3,0,0,0,VERIFIED
Ranjhi,4,0,3,1,0,0,VERIFIED
Jasuja City,4,0,2,0,0,0,VERIFIED
Sneh Nagar,4,0,4,0,0,0,VERIFIED
Hathital,4,0,4,0,0,0,VERIFIED
Ganjipura Rd,4,2,2,0,0,0,VERIFIED
Mansarovar Colony,4,0,4,0,0,0,VERIFIED
Sanjay Nagar,4,0,2,1,0,0,VERIFIED
Andherdeo,4,1,3,0,0,0,VERIFIED
Anjani Chhaya Sanjeevani Nagar,4,0,3,0,1,0,VERIFIED
Alok Nagar,4,0,2,1,1,0,VERIFIED
Sanjeevni Nagar,4,1,1,1,0,0,VERIFIED
Raksha Karmachari Colony,4,0,3,1,0,0,VERIFIED
Ganga Sagar Rd,4,0,2,1,1,0,VERIFIED
Ima Hall Road,3,1,2,0,0,0,VERIFIED
Sneh Nagar Chowk,3,1,2,0,0,0,VERIFIED
Garha Purwa Road,3,0,2,1,0,0,VERIFIED
Adarsh Nagar,3,1,2,0,0,0,VERIFIED
Hardol Mandir Rd,3,1,2,0,0,0,VERIFIED
Shakti Bhawan Rd,3,0,2,1,0,0,VERIFIED
Ghamapur chowk,3,0,3,0,0,0,VERIFIED
Ashok Vihar,3,0,2,0,0,0,VERIFIED
State Bank Colony,3,0,3,0,0,0,VERIFIED
LordGanj,3,0,3,0,0,0,VERIFIED
Garha Fatak Rd,3,0,1,1,1,0,VERIFIED
Jawahar Nagar,3,0,2,0,1,0,VERIFIED
Patel Mohalla,3,0,3,0,0,0,VERIFIED
Dhanwantri Nagar,3,0,3,0,0,0,VERIFIED
Kachnar Rd,3,0,2,0,0,0,VERIFIED
near Ghadi Chowk,3,0,3,0,0,0,VERIFIED
Bajnamath Rd,3,0,3,0,0,0,VERIFIED
Manmohan Nagar,3,1,2,0,0,0,VERIFIED
Bharipur Rd,3,1,2,0,0,0,VERIFIED
Andherdeo Rd,3,0,3,0,0,0,VERIFIED
Shukla Nagar,3,0,3,0,0,0,VERIFIED
Beohar Raghuvir Sinha Rd,3,1,2,0,0,0,VERIFIED
Katanga,3,0,3,0,0,0,VERIFIED
New Anand Nagar Rd,3,1,2,0,0,0,VERIFIED
SBI Chowk,3,1,2,0,0,0,VERIFIED
Life Medicity Hospital,3,0,2,0,0,0,VERIFIED
Samiksha Town Phase 3rd,3,1,2,0,0,0,VERIFIED
Ranital,3,0,2,1,0,0,VERIFIED
MLB Rd,3,0,3,0,0,0,VERIFIED
Azad Chowk,3,0,2,1,0,0,VERIFIED
Napier Town Rd,3,0,3,0,0,0,VERIFIED
Dwarka Nagar Ward,3,0,3,0,0,0,VERIFIED
Damoh Naka,3,1,2,0,0,0,VERIFIED
Nagpur Road,3,0,2,0,1,0,VERIFIED
Karan Singh Market,3,0,2,0,1,0,VERIFIED
Deendayal Chowk,3,0,3,0,0,0,VERIFIED
Shiv Nagar Main Rd,3,0,2,0,0,0,VERIFIED
Katanga Rd,3,0,3,0,0,0,VERIFIED
near Prem Mandir Road,3,0,2,1,0,0,VERIFIED
Jai Prakash Nagar Rd,3,0,3,0,0,0,VERIFIED
Medical College Colony,3,0,2,0,0,0,VERIFIED
Denning Rd,3,0,3,0,0,0,VERIFIED
Badi Omti,3,0,3,0,0,0,VERIFIED
Saif Nagar,3,0,2,0,0,0,VERIFIED
Gurudev Colony,3,1,1,0,0,0,VERIFIED
Shastri Nagar Rd,3,0,2,0,0,0,VERIFIED
Patel Market,3,0,1,0,1,0,VERIFIED
Tulsi Nagar,3,0,3,0,0,0,VERIFIED
Suvidha market,3,0,2,1,0,0,VERIFIED
Neta Colony,3,0,3,0,0,0,VERIFIED
Samdariya Green City,3,0,3,0,0,0,VERIFIED
Police Lines,3,1,1,0,1,0,VERIFIED
raza chowk,3,0,3,0,0,0,VERIFIED
Patel Nagar,3,0,1,2,0,0,VERIFIED
Nakshatra Nagar,3,0,3,0,0,0,VERIFIED
Sadashiv Nagar Devtal Rd,3,0,2,0,1,0,VERIFIED
Jai Nagar,3,0,2,0,1,0,VERIFIED
Chandmari,3,0,1,0,1,0,VERIFIED
Vivekanand Ward,3,0,3,0,0,0,VERIFIED
WARD,2,2,0,0,0,0,VERIFIED
Delite Taklies Rd,2,0,2,0,0,0,VERIFIED
Dr Radha Krishnan Chowk,2,0,2,0,0,0,VERIFIED
Panch Sheel Nagar,2,0,2,0,0,0,VERIFIED
Narmada Nagar,2,0,2,0,0,0,VERIFIED
APR Colony,2,1,1,0,0,0,VERIFIED
Thana,2,0,2,0,0,0,VERIFIED
Belbaag-Gurandi Rd,2,0,2,0,0,0,VERIFIED
Shaktinagar,2,0,2,0,0,0,VERIFIED
Ekta vihar,2,0,0,0,1,0,VERIFIED
Gurandi Market Rd,2,0,2,0,0,0,VERIFIED
Hanuman Chowk,2,0,2,0,0,0,VERIFIED
Jain Mandir Rd,2,0,1,0,0,0,VERIFIED
Ukhari Chowk,2,1,0,1,0,0,VERIFIED
Shri Nath Ki Talleyya Rd,2,0,2,0,0,0,VERIFIED
Agrawal Colony,2,0,2,0,0,0,VERIFIED
Sagra,2,0,1,0,0,0,VERIFIED
in front of Anand Nagar,2,0,2,0,0,0,VERIFIED
Krishi Upaj Mandi Market,2,0,1,0,1,0,VERIFIED
Bajnamath Chowk,2,0,2,0,0,0,VERIFIED
Ghora Nakkas Road,2,0,2,0,0,0,VERIFIED
Kotwali Bazar,2,0,2,0,0,0,VERIFIED
Chandan Colony,2,1,0,0,1,0,VERIFIED
Rd,2,0,1,0,0,0,VERIFIED
Crossing,2,0,2,0,0,0,VERIFIED
Gopalpuram,2,0,2,0,0,0,VERIFIED
Anuradha Colony,2,0,1,0,0,0,VERIFIED
Barela,2,0,1,0,1,0,VERIFIED
Ganga Maiya Rd,2,0,2,0,0,0,VERIFIED
Amanpur,2,0,2,0,0,0,VERIFIED
Ukhri Road,2,1,1,0,0,0,VERIFIED
Madar Tekri Rd,2,0,2,0,0,0,VERIFIED
Chandrika Vihar,2,0,2,0,0,0,VERIFIED
Gaumata Chowk,2,0,2,0,0,0,VERIFIED
Nehru Railway Colony,2,0,1,1,0,0,VERIFIED
JDA Market,2,0,2,0,0,0,VERIFIED
791A Subhadra Kumari Chauhan Ward,2,0,1,0,0,0,VERIFIED
near Ukhari Chowk,2,0,2,0,0,0,VERIFIED
Janki Nagar Rd,2,0,2,0,0,0,VERIFIED
Indira Market,2,0,1,0,1,0,VERIFIED
Punjab Bank Colony,2,0,2,0,0,0,VERIFIED
SUBHDRA KUMARI WARD,2,2,0,0,0,0,VERIFIED
Shatabdipuram,2,0,2,0,0,0,VERIFIED
Ratan Nagar Rd,2,0,2,0,0,0,VERIFIED
Jabalpur raddi chowki,2,0,1,1,0,0,VERIFIED
ukhari road,2,0,1,0,1,0,VERIFIED
Market,2,0,2,0,0,0,VERIFIED
Madan Mahal Station Road,2,0,2,0,0,0,VERIFIED
Pushpak Nagar,2,0,1,0,0,0,VERIFIED
Nav Adarsh Colony,2,0,1,0,0,0,VERIFIED
Nagrath Chowk,2,0,2,0,0,0,VERIFIED
Sudhama Nagar,2,0,2,0,0,0,VERIFIED
Gurudwara Road,2,0,2,0,0,0,VERIFIED
Jagriti Nagar,2,0,1,0,0,0,VERIFIED
mool chand yadav market,2,0,2,0,0,0,VERIFIED
Shankar Nagar,2,0,2,0,0,0,VERIFIED
Ganji Nagar,2,0,2,0,0,0,VERIFIED
B.M Colony,2,0,2,0,0,0,VERIFIED
Bazar,2,0,2,0,0,0,VERIFIED
Rewa Colony,2,1,1,0,0,0,VERIFIED
MPEB Road,2,0,1,1,0,0,VERIFIED
Nagpur road,2,0,2,0,0,0,VERIFIED
nagar,2,0,2,0,0,0,VERIFIED
Clock Tower Rd,2,1,1,0,0,0,VERIFIED
Ekta chowk,2,0,0,0,0,0,VERIFIED
Lamheta Rd,2,0,1,0,0,0,VERIFIED
Ram Nagar Road,2,0,0,1,0,0,VERIFIED
Datt Township Main Rd,2,0,1,0,0,0,VERIFIED
P N B Colony,2,0,1,0,1,0,VERIFIED
Khatik Mohalla,2,0,2,0,0,0,VERIFIED
Jhamandas Chowk,2,0,2,0,0,0,VERIFIED
Gandhi Vyayam Shala,2,0,1,0,1,0,VERIFIED
Devtaal Rd,2,0,2,0,0,0,VERIFIED
MPSEB Colony,2,0,2,0,0,0,VERIFIED
Nagar Nigam Market,2,0,1,0,1,0,VERIFIED
Damoh Rd,2,0,2,0,0,0,VERIFIED
Shatabdipuram Phase 2,2,0,1,1,0,0,VERIFIED
New Adarsh Colony,2,0,2,0,0,0,VERIFIED
Sanskar Colony,2,0,2,0,0,0,VERIFIED
Kasoudhan Nagar,2,1,1,0,0,0,VERIFIED
Dwarka Nagar,2,0,2,0,0,0,VERIFIED
Ambedkar Colony,2,0,1,1,0,0,VERIFIED
opposite Bhavartal Garden Road,2,0,1,1,0,0,VERIFIED
Deen Dayal Chowk,2,1,1,0,0,0,VERIFIED
Gokulpur,2,1,0,1,0,0,VERIFIED
Civil Lines Rd,2,0,2,0,0,0,VERIFIED
Karamchand Chowk,2,1,1,0,0,0,VERIFIED
Gurunanak School Rd,2,1,1,0,0,0,VERIFIED
MCI Colony,2,0,1,0,0,0,VERIFIED
Cherital Road,2,0,2,0,0,0,VERIFIED
Gupta Colony,2,1,0,0,0,0,VERIFIED
Thana Road,2,0,2,0,0,0,VERIFIED
VFJ Rd,2,0,2,0,0,0,VERIFIED
Professor Colony,2,0,2,0,0,0,VERIFIED
Sai Colony Rd,2,0,2,0,0,0,VERIFIED
